WARD,Latitude,Longitude,Altitude,dx,dy
1,41.91929371,-87.68761394,0,2,2
2,41.90703448,-87.6677379,0,2,2
3,41.80235576,-87.62604643,0,2,2
4,41.83106499,-87.61553962,0,2,2
5,41.76603188,-87.56788119,0,2,2
6,41.74920155,-87.61477143,0,2,2
7,41.72244296,-87.56860914,0,2,2
8,41.73911603,-87.60474482,0,2,2
9,41.68999054,-87.62172136,0,2,2
10,41.70447282,-87.53543101,0,2,2
11,41.82712972,-87.64587536,0,2,2
12,41.83076056,-87.67728994,0,2,2
13,41.774965,-87.72281223,0,2,2
14,41.80114728,-87.6911633,0,2,2
15,41.77953383,-87.66627507,0,2,2
16,41.77890901,-87.70004801,0,2,2
17,41.76084919,-87.66353232,0,2,2
18,41.74039701,-87.72147417,0,2,2
19,41.70446089,-87.68170835,0,2,2
20,41.77874319,-87.60574677,0,2,2
21,41.7299276,-87.66274575,0,2,2
22,41.8461479,-87.71254636,0,2,2
23,41.79346683,-87.77626402,0,2,2
24,41.86614469,-87.73021219,0,2,2
25,41.8576651,-87.66150766,0,2,2
26,41.90287906,-87.68994499,0,2,2
27,41.88126893,-87.68658174,0,2,2
28,41.85938911,-87.69096671,0,2,2
29,41.90928313,-87.78299907,0,2,2
30,41.94545816,-87.73406077,0,2,2
31,41.92697612,-87.72669468,0,2,2
32,41.93002546,-87.67533354,0,2,2
33,41.95383974,-87.70318849,0,2,2
34,41.6923314,-87.6354432,0,2,2
35,41.93075027,-87.70944243,0,2,2
36,41.93094567,-87.79938065,0,2,2
37,41.89508655,-87.74929345,0,2,2
38,41.94955968,-87.80700866,0,2,2
39,41.96824084,-87.73813186,0,2,2
40,41.98772317,-87.70313536,0,2,2
41,42.01661049,-87.80672413,0,2,2
42,41.89464565,-87.63678754,0,2,2
43,41.92803652,-87.64870672,0,2,2
44,41.94063077,-87.6539821,0,2,2
45,41.96687805,-87.76006384,0,2,2
46,41.96480726,-87.65725831,0,2,2
47,41.95894229,-87.68194976,0,2,2
48,41.98279724,-87.65989828,0,2,2
49,42.01553264,-87.66826811,0,2,2
50,41.99737353,-87.70402724,0,2,2
