WARD,Latitude,Longitude
1,41.91929371,-87.68761394
2,41.90703448,-87.6677379
3,41.80235576,-87.62604643
4,41.83106499,-87.61553962
5,41.76603188,-87.56788119
6,41.74920155,-87.61477143
7,41.72244296,-87.56860914
8,41.73911603,-87.60474482
9,41.68999054,-87.62172136
10,41.70447282,-87.53543101
11,41.82712972,-87.64587536
12,41.83076056,-87.67728994
13,41.774965,-87.72281223
14,41.80114728,-87.6911633
15,41.77953383,-87.66627507
16,41.77890901,-87.70004801
17,41.76084919,-87.66353232
18,41.74039701,-87.72147417
19,41.70446089,-87.68170835
20,41.77874319,-87.60574677
21,41.7299276,-87.66274575
22,41.8461479,-87.71254636
23,41.79346683,-87.77626402
24,41.86614469,-87.73021219
25,41.8576651,-87.66150766
26,41.90287906,-87.68994499
27,41.88126893,-87.68658174
28,41.85938911,-87.69096671
29,41.90928313,-87.78299907
30,41.94545816,-87.73406077
31,41.92697612,-87.72669468
32,41.93002546,-87.67533354
33,41.95383974,-87.70318849
34,41.6923314,-87.6354432
35,41.93075027,-87.70944243
36,41.93094567,-87.79938065
37,41.89508655,-87.74929345
38,41.94955968,-87.80700866
39,41.96824084,-87.73813186
40,41.98772317,-87.70313536
41,42.01661049,-87.80672413
42,41.89464565,-87.63678754
43,41.92803652,-87.64870672
44,41.94063077,-87.6539821
45,41.96687805,-87.76006384
46,41.96480726,-87.65725831
47,41.95894229,-87.68194976
48,41.98279724,-87.65989828
49,42.01553264,-87.66826811
50,41.99737353,-87.70402724
